"Cliente","Tiempo respuesta","Uso CPU","Transacciones perdidas"
"0","2739","63.99052541022235","0"
"1","270","63.99052541022235","0"
"2","238","63.99052541022235","0"
"3","338","23.651600919567496","0"
"4","251","29.228555508525076","0"
"5","350","29.228555508525076","0"
"6","283","18.612910076292778","0"
"7","209","31.14690716217775","0"
"8","283","31.14690716217775","0"
"9","262","31.14690716217775","0"
"10","238","16.78316202089046","0"
"11","239","16.78316202089046","0"
"12","291","16.77452687983041","0"
"13","228","16.77452687983041","0"
"14","293","16.525619820582193","0"
"15","341","16.525619820582193","0"
"16","252","15.418255149426852","0"
"17","294","15.418255149426852","0"
"18","194","15.350319862230123","0"
"19","245","23.066607329824183","0"
"20","245","23.066607329824183","0"
"21","343","23.066607329824183","0"
"22","234","12.311965236372558","0"
"23","288","12.311965236372558","0"
"24","310","10.100670074718954","0"
"25","245","15.480700924491874","0"
"26","264","15.480700924491874","0"
"27","520","15.480700924491874","0"
"28","440","11.527785201579622","0"
"29","286","10.054445216862462","0"
"30","257","14.623318640029638","0"
"31","228","14.623318640029638","0"
"32","214","14.623318640029638","0"
"33","287","14.50833901205215","0"
"34","238","17.138299167144822","0"
"35","342","17.138299167144822","0"
"36","210","17.138299167144822","0"
"37","371","12.392534036165138","0"
"38","301","8.102563555100062","0"
"39","215","11.844010444849873","0"
"40","309","11.844010444849873","0"
"41","232","20.56018787532523","0"
"42","243","20.56018787532523","0"
"43","226","20.619088567206823","0"
"44","328","20.619088567206823","0"
"45","216","20.619088567206823","0"
"46","258","9.954329659277883","0"
"47","232","14.638502965059253","0"
"48","315","14.638502965059253","0"
"49","175","15.379849003102253","0"
"50","297","15.379849003102253","0"
"51","224","17.6170721368902","0"
"52","246","17.6170721368902","0"
"53","307","17.6170721368902","0"
"54","243","11.753445294121489","0"
"55","282","13.650269083031485","0"
"56","231","13.650269083031485","0"
"57","300","15.439472319242975","0"
"58","302","15.439472319242975","0"
"59","257","17.9149952719042","0"
"60","237","17.9149952719042","0"
"61","294","17.9149952719042","0"
"62","241","13.441719995800028","0"
"63","293","17.897713645192347","0"
"64","295","17.897713645192347","0"
"65","362","17.897713645192347","0"
"66","221","12.22041083412655","0"
"67","350","16.850185771786506","0"
"68","212","16.850185771786506","0"
"69","361","16.850185771786506","0"
"70","264","15.383407623990763","0"
"71","347","22.641505470942757","0"
"72","280","22.641505470942757","0"
"73","224","22.641505470942757","0"
"74","250","14.587841258494272","0"
"75","355","16.519598957403637","0"
"76","326","16.519598957403637","0"
"77","314","16.519598957403637","0"
"78","201","10.972598747812812","0"
"79","224","13.194377061494189","0"
"80","276","13.194377061494189","0"
"81","248","22.03317964511995","0"
"82","306","22.03317964511995","0"
"83","292","22.25565047063206","0"
"84","229","22.25565047063206","0"
"85","312","22.25565047063206","0"
"86","261","21.260479263035002","0"
"87","335","22.42302760285112","0"
"88","386","22.42302760285112","0"
"89","222","9.900776121763622","0"
"90","223","16.11090243093951","0"
"91","213","16.11090243093951","0"
"92","312","16.11090243093951","0"
"93","209","13.97628922178724","0"
"94","297","25.72288460612092","0"
"95","203","25.72288460612092","0"
"96","331","26.043112579505667","0"
"97","571","26.043112579505667","0"
"98","205","6.632617670366026","0"
"99","261","13.721306443640325","0"
"100","230","13.721306443640325","0"
"101","280","16.270489736705663","0"
"102","340","16.270489736705663","0"
"103","419","16.270489736705663","0"
"104","261","13.392888619587973","0"
"105","374","13.392888619587973","0"
"106","308","18.918989043036504","0"
"107","213","18.918989043036504","0"
"108","367","18.918989043036504","0"
"109","215","15.089414477215012","0"
"110","306","15.089414477215012","0"
"111","293","15.024352908069794","0"
"112","283","15.024352908069794","0"
"113","311","12.502982593094236","0"
"114","265","13.297470598208916","0"
"115","581","13.297470598208916","0"
"116","195","7.984507553305664","0"
"117","220","7.984507553305664","0"
"118","216","16.7578079024697","0"
"119","207","16.7578079024697","0"
"120","229","16.7578079024697","0"
"121","210","15.36917742056424","0"
"122","265","17.825767582632256","0"
"123","215","17.825767582632256","0"
"124","325","17.825767582632256","0"
"125","229","16.632624988536982","0"
"126","229","18.37123649074197","0"
"127","213","18.37123649074197","0"
"128","200","18.37123649074197","0"
"129","203","18.37123649074197","0"
"130","228","16.793739106399364","0"
"131","223","22.949954772407576","0"
"132","284","22.949954772407576","0"
"133","331","22.949954772407576","0"
"134","257","19.7925045716169","0"
"135","195","21.90610903236272","0"
"136","279","21.90610903236272","0"
"137","303","21.90610903236272","0"
"138","243","15.759216810948097","0"
"139","232","15.759216810948097","0"
"140","227","15.297397080096209","0"
"141","286","15.297397080096209","0"
"142","266","15.266781532774754","0"
"143","257","15.266781532774754","0"
"144","318","14.998181695690194","0"
"145","236","18.73654942587405","0"
"146","435","18.73654942587405","0"
"147","304","11.873013948210588","0"
"148","236","11.873013948210588","0"
"149","343","9.364777923214474","0"
"150","264","14.627870045772685","0"
"151","288","14.627870045772685","0"
"152","184","14.627870045772685","0"
"153","326","9.577450238607899","0"
"154","316","16.5008321494159","0"
"155","296","16.5008321494159","0"
"156","223","16.5008321494159","0"
"157","291","12.209992293793126","0"
"158","265","12.209992293793126","0"
"159","265","11.433847537229036","0"
"160","506","11.784589359413623","0"
"161","362","11.784589359413623","0"
"162","300","4.369556195466473","0"
"163","250","15.427573057996602","0"
"164","243","15.427573057996602","0"
"165","251","15.68122890144269","0"
"166","355","15.68122890144269","0"
"167","330","15.68122890144269","0"
"168","259","10.903553765785057","0"
"169","261","13.197610096148715","0"
"170","300","13.197610096148715","0"
"171","225","17.601763058596188","0"
"172","224","17.601763058596188","0"
"173","203","25.452278793272175","0"
"174","279","25.452278793272175","0"
"175","230","25.452278793272175","0"
"176","223","18.753110991649034","0"
"177","334","18.753110991649034","0"
"178","283","14.32986575364108","0"
"179","225","14.32986575364108","0"
"180","245","13.87987115450845","0"
"181","283","17.374482899714614","0"
"182","256","17.374482899714614","0"
"183","363","17.374482899714614","0"
"184","247","17.115793528853196","0"
"185","190","36.090380789848574","0"
"186","565","36.090380789848574","0"
"187","244","17.217597353347248","0"
"188","297","39.33583031109371","0"
"189","203","39.33583031109371","0"
"190","239","39.33583031109371","0"
"191","255","25.135195050349658","0"
"192","210","25.135195050349658","0"
"193","307","23.997770007564945","0"
"194","257","25.658554158594338","0"
"195","420","25.658554158594338","0"
"196","258","15.690522253374207","0"
"197","219","25.58212527810184","0"
"198","270","25.58212527810184","0"
"199","211","25.58212527810184","0"
"200","262","21.594430613019743","0"
"201","248","33.769838134664745","0"
"202","297","33.769838134664745","0"
"203","290","33.769838134664745","0"
"204","294","22.424702264012897","0"
"205","317","22.424702264012897","0"
"206","186","18.336324485312804","0"
"207","248","24.84773583849008","0"
"208","305","24.84773583849008","0"
