"Cliente","Tiempo respuesta","Uso CPU","Transacciones perdidas"
"0","3232","100.0","0"
"1","377","45.09768789879808","0"
"2","235","45.09768789879808","0"
"3","375","26.920405668815462","0"
"4","376","26.920405668815462","0"
"5","1423","26.920405668815462","0"
"6","1402","10.829160952821715","0"
"7","580","10.054235241489184","0"
"8","1439","10.054235241489184","0"
"9","435","6.389774346426735","0"
"10","286","9.434675303748852","0"
"11","436","14.685080496879365","0"
"12","340","14.685080496879365","0"
"13","393","11.658327577199401","0"
"14","456","14.833981287017606","0"
"15","341","15.870127283422274","0"
"16","276","15.870127283422274","0"
"17","725","26.81134328570598","0"
"18","345","26.81134328570598","0"
"19","317","17.685280160527473","0"
"20","478","25.748638798974067","0"
"21","337","25.748638798974067","0"
"22","702","15.475891533493435","0"
"23","678","15.471303638704004","0"
"24","423","14.80755659893851","0"
"25","296","16.193060199356722","0"
"26","258","18.341159776287963","0"
"27","269","18.341159776287963","0"
"28","401","18.341159776287963","0"
"29","352","17.31530413259932","0"
"30","707","18.66424687837316","0"
"31","374","8.096239815166006","0"
"32","634","14.854094615512981","0"
"33","616","13.403838524580369","0"
"34","1374","7.173910792038907","0"
"35","322","7.173910792038907","0"
"36","1328","9.051511325862805","0"
"37","406","9.051511325862805","0"
"38","313","12.735739504416642","0"
"39","450","16.779580145346117","0"
"40","417","16.779580145346117","0"
"41","505","16.951717046062008","0"
"42","303","16.951717046062008","0"
"43","281","18.965302379964164","0"
"44","340","18.965302379964164","0"
"45","658","18.965302379964164","0"
"46","294","7.126531414255544","0"
"47","481","19.535430548486033","0"
"48","411","19.535430548486033","0"
"49","493","16.942182609119993","0"
"50","286","10.947691661167603","0"
"51","378","25.79075973283893","0"
"52","1406","25.79075973283893","0"
"53","386","8.029743069904505","0"
"54","850","13.48965488765268","0"
"55","487","13.48965488765268","0"
"56","341","12.759939602561554","0"
"57","387","16.834534416341175","0"
"58","277","16.834534416341175","0"
"59","406","16.388153748762768","0"
"60","3974","16.388153748762768","0"
"61","428","4.9683836717326235","0"
"62","331","19.407940223268184","0"
"63","1360","19.407940223268184","0"
"64","235","13.429348468578139","0"
"65","345","17.35388049394455","0"
"66","510","18.85171675087346","0"
"67","385","18.85171675087346","0"
"68","406","18.85171675087346","0"
"69","1404","17.96037240542597","0"
"70","281","9.328237351409562","0"
"71","431","17.38979704514161","0"
"72","270","17.38979704514161","0"
"73","442","16.198333949956776","0"
"74","1351","10.872168221543632","0"
"75","317","9.853205206803505","0"
"76","406","17.61907477430845","0"
"77","387","17.61907477430845","0"
"78","359","17.570881129033623","0"
"79","378","17.570881129033623","0"
