Cliente,Tiempo respuesta,Uso CPU,Transacciones perdidas
0,3929,62.58676757,0
1,1273,62.58676757,0
2,977,33.88145566,0
3,405,20.95905661,0
4,246,18.79609412,0
5,722,30.00888739,0
6,419,30.00888739,0
7,650,34.10184318,0
8,281,34.10184318,0
9,342,31.67318176,0
10,501,34.62095966,0
11,856,34.62095966,0
12,386,23.72070346,0
13,4265,23.85819439,0
14,561,19.86952819,0
15,330,19.86952819,0
16,374,19.86952819,0
17,750,22.31599093,0
18,497,22.31599093,0
19,304,13.87664443,0
20,347,12.33692722,0
21,457,12.33692722,0
22,1059,12.11131024,0
23,317,16.25246864,0
24,338,16.25246864,0
25,367,31.43971438,0
26,605,31.43971438,0
27,621,14.0299867,0
28,1407,12.40256635,0
29,394,12.30305355,0
30,1490,12.30305355,0
31,1219,8.744653763,0
32,359,8.744653763,0
33,1507,16.60165198,0
34,418,8.162193482,0
35,415,16.21972479,0
36,299,20.78766516,0
37,384,20.78766516,0
38,1502,16.8968757,0
39,363,11.34167222,0
40,1124,12.72234506,0
41,932,12.72234506,0
42,377,10.80444212,0
43,436,16.83081953,0
44,343,18.09808605,0
45,603,18.09808605,0
46,506,22.84258208,0
47,657,22.84258208,0
48,366,21.10221295,0
49,869,21.10221295,0
50,887,20.34866745,0
51,405,10.75539204,0
52,567,24.17668478,0
53,1342,24.17668478,0
54,389,8.238070273,0
55,338,18.70198973,0
56,821,18.70198973,0
57,301,15.70449082,0
58,1588,15.70449082,0
59,282,9.636227664,0
60,369,17.76637557,0
61,378,21.28594336,0
62,449,21.28594336,0
63,396,22.79412225,0
64,1349,22.79412225,0
65,470,14.27663391,0
66,4249,14.27663391,0
67,626,18.72320373,0
68,1369,18.72320373,0
69,319,8.476884414,0
70,471,17.51180998,0
71,471,17.93716949,0
72,488,17.93716949,0
73,394,19.99843168,0
74,672,20.25014413,0
75,510,20.25014413,0
76,306,23.40926943,0
77,484,23.40926943,0
78,343,23.30164518,0
79,544,22.64991276,0
80,1100,13.65211777,0
81,1003,12.63750069,0
82,556,17.38461583,0
83,476,17.38461583,0
84,830,15.07379295,0
85,257,15.07379295,0
86,352,18.44857229,0
87,546,20.56154963,0
88,436,20.56154963,0
89,399,16.26448576,0
90,355,24.09496124,0
91,476,24.09496124,0
92,460,17.55160019,0
93,435,18.09521794,0
94,271,18.09521794,0
95,379,18.09521794,0
96,807,17.84172175,0
97,679,17.84172175,0
98,624,17.64123224,0
99,495,20.80129677,0
100,307,20.80129677,0
101,387,20.80129677,0
102,491,16.35559736,0
103,379,13.00120144,0
104,452,19.25569133,0
105,467,21.82552275,0
106,1289,21.82552275,0
107,442,17.43562033,0
108,636,20.62848873,0
109,816,20.62848873,0
110,256,15.07350277,0
111,817,28.47286123,0
112,380,14.84290411,0
113,824,15.48249917,0
114,414,15.77015722,0
115,314,15.77015722,0
116,600,15.77015722,0
117,628,20.65620372,0
118,355,20.65620372,0
119,435,20.35845405,0
120,391,19.51770613,0
121,791,19.86772405,0
122,482,18.21997254,0
123,390,18.21997254,0
124,406,20.35336271,0
125,211,20.35336271,0
126,690,20.35336271,0
127,359,11.2716306,0
128,337,18.12652074,0
129,456,21.73888603,0
130,326,21.73888603,0
131,312,26.13926414,0
132,433,26.13926414,0
133,295,13.47188795,0
134,367,20.51158602,0
135,450,21.21441523,0
136,854,21.21441523,0
137,711,15.60237593,0
138,450,17.06286045,0
139,4142,17.06286045,0
140,417,13.07729939,0
141,1053,17.50477349,0
142,1142,17.50477349,0
143,793,13.74719787,0
144,429,13.74719787,0
145,467,13.69750555,0
146,449,23.21890996,0
147,455,23.21890996,0
148,568,20.4494258,0
149,479,20.4494258,0
150,583,15.77444064,0
151,4027,9.616462253,0
152,848,7.461674261,0
153,528,12.11264107,0
154,2101,12.11264107,0
155,813,11.30771794,0
156,1868,16.26188877,0
157,596,12.70600322,0
158,371,12.70600322,0
159,307,19.87399564,0
160,1310,19.87399564,0
161,1200,22.05766089,0
162,501,22.05766089,0
163,653,16.95936471,0
164,646,16.95936471,0
165,238,13.13974376,0
166,608,23.16791234,0
167,1162,14.47005032,0
168,573,24.5917524,0
169,733,24.5917524,0
170,487,31.23217084,0
171,278,31.23217084,0
172,929,31.23217084,0
173,905,22.88523438,0
174,555,11.17286601,0
175,614,18.27632862,0
176,457,18.27632862,0
177,355,14.91631028,0
178,1390,25.18047981,0
179,321,6.706806341,0
180,1393,17.26043198,0
181,504,17.94563152,0
182,389,17.94563152,0
183,668,23.40796634,0
184,528,23.40796634,0
185,340,15.59014152,0
186,333,15.59014152,0
187,368,21.54058814,0
188,343,21.54058814,0
189,397,16.52284342,0
190,494,16.52284342,0
191,232,16.10427904,0
192,509,22.9257469,0
193,734,22.9257469,0
194,751,17.79005983,0
195,256,13.53053615,0
196,424,22.17128236,0
197,907,22.17128236,0
198,374,13.82433337,0
199,422,16.58437146,0
200,663,18.97346595,0
201,604,18.97346595,0
202,654,16.17503287,0
203,476,19.04476687,0
204,322,19.04476687,0
205,350,19.04476687,0
206,391,21.54078397,0
207,498,21.57536139,0
208,458,21.57536139,0
209,765,19.1513692,0
210,691,19.1513692,0
211,426,11.34045769,0
212,428,23.74812254,0
213,442,23.74812254,0
214,3977,15.0389386,0
215,694,13.34454588,0
216,326,13.34454588,0
217,613,19.61934266,0
218,241,11.66505388,0
219,420,20.79662361,0
220,515,20.79662361,0
221,326,11.92132983,0
222,323,24.96050912,0
223,259,24.96050912,0
224,383,26.25951695,0
225,352,26.25951695,0
226,384,16.9587792,0
227,407,15.18634324,0
228,351,15.19146019,0
229,264,15.19146019,0
230,336,17.56329596,0
231,1408,17.56329596,0
232,458,19.61109866,0
233,352,19.61109866,0
234,867,29.0204574,0
235,417,9.680300654,0
236,1556,13.14963831,0
237,463,15.51845276,0
238,356,15.51845276,0
239,203,26.88384167,0
240,312,26.88384167,0
241,363,26.88384167,0
242,394,23.63234833,0
243,210,22.82460498,0
244,467,22.85918624,0
245,362,22.85918624,0
246,405,19.17090162,0
247,887,19.17090162,0
248,825,14.96913588,0
249,1476,9.837497572,0
250,506,9.837497572,0
251,1400,13.51957314,0
252,371,13.51957314,0
253,261,14.65730127,0
254,381,22.70299408,0
255,1437,22.70299408,0
256,403,10.58818829,0
257,1574,19.74262577,0
258,347,7.522825205,0
259,317,16.72677011,0
260,372,27.63239556,0
261,356,27.63239556,0
262,404,27.63239556,0
263,457,22.10146218,0
264,595,21.26095556,0
265,1104,21.26095556,0
266,486,17.66954569,0
267,347,17.66954569,0
268,393,21.04874566,0
269,438,21.04874566,0
270,1477,15.79767504,0
271,348,9.707351827,0
272,1464,18.58284351,0
273,516,17.64878229,0
274,1554,17.64878229,0
275,628,13.06359948,0
276,410,16.69231602,0
277,238,16.69231602,0
278,396,21.30196259,0
279,432,21.30196259,0
280,657,21.30196259,0
281,387,20.33486431,0
282,1098,17.60389668,0
283,574,14.31014106,0
284,747,15.31608163,0
285,919,15.31608163,0
