"Cliente","Tiempo respuesta","Uso CPU","Transacciones perdidas"
"1","3242","100.0","0"
"2","321","56.36322002632541","0"
"3","271","56.36322002632541","0"
"4","254","17.80806561438605","0"
"5","636","18.7077105168308","0"
"6","392","12.83871027617729","0"
"0","5514","100.0","0"
"7","327","12.83871027617729","0"
"8","285","11.294654810941351","0"
"9","556","27.095346381473927","0"
"10","496","27.095346381473927","0"
"12","360","27.095346381473927","0"
"11","445","27.095346381473927","0"
"13","600","20.984761647899674","0"
"15","513","20.984761647899674","0"
"14","1544","20.700653418430093","0"
"16","860","15.320697919489923","0"
"18","633","13.75893659310532","0"
"19","360","13.75893659310532","0"
"17","1549","21.522677413304315","0"
"21","447","21.522677413304315","0"
"22","462","18.524850275997263","0"
"20","1365","21.522677413304315","0"
"24","328","20.941116943899818","0"
"23","638","20.941116943899818","0"
"25","396","20.941116943899818","0"
"27","372","27.613342589466395","0"
"28","266","27.613342589466395","0"
"29","298","27.613342589466395","0"
"26","1387","20.941116943899818","0"
"30","337","21.549219171796675","0"
"32","376","21.549219171796675","0"
"33","1467","21.549219171796675","0"
"34","453","11.576497623371395","0"
"35","351","11.576497623371395","0"
"36","376","19.463847253482637","0"
"37","252","19.463847253482637","0"
"31","4246","21.549219171796675","0"
"39","399","12.568371242243014","0"
"38","1373","23.60395343133582","0"
"40","386","23.60395343133582","0"
"42","231","23.60395343133582","0"
"41","349","23.60395343133582","0"
"44","518","20.875388274044838","0"
"45","442","20.875388274044838","0"
"43","1419","15.169398470567275","0"
"47","317","19.494423260624416","0"
"48","593","19.494423260624416","0"
"46","1337","16.200913847295194","0"
"49","405","16.200913847295194","0"
"50","403","16.91603672036446","0"
"51","257","16.91603672036446","0"
"52","297","16.91603672036446","0"
"53","541","40.877639246439365","0"
"55","368","40.877639246439365","0"
"56","557","18.045835434113055","0"
"54","1378","16.91603672036446","0"
"58","357","0.0","0"
"59","380","21.27834733525964","0"
"57","1404","12.122276128669164","0"
"61","249","12.122276128669164","0"
"62","357","21.031282196347377","0"
"60","1371","21.27834733525964","0"
"63","468","21.34663086720252","0"
"64","403","21.34663086720252","0"
"65","316","21.34663086720252","0"
"66","381","23.703523610626178","0"
"67","319","23.703523610626178","0"
"68","285","23.703523610626178","0"
"69","322","23.703523610626178","0"
"70","438","23.703523610626178","0"
"71","739","21.818544636385006","0"
"72","699","21.818544636385006","0"
"73","406","14.822032983466272","0"
"74","364","20.411848359151897","0"
"75","458","20.411848359151897","0"
"76","442","23.921551114789487","0"
"78","335","23.921551114789487","0"
"77","810","23.921551114789487","0"
"79","417","17.442027965843877","0"
"80","423","18.985328970680047","0"
"81","455","18.985328970680047","0"
"82","278","27.745316692276933","0"
"84","296","27.745316692276933","0"
"83","470","27.745316692276933","0"
"85","441","27.745316692276933","0"
"86","372","21.719980158730156","0"
"87","544","100.0","0"
"88","486","100.0","0"
"89","374","100.0","0"
"90","376","100.0","0"
"91","416","0.0","0"
"92","482","29.300874240340114","0"
"93","325","29.300874240340114","0"
"94","466","29.300874240340114","0"
"95","370","29.300874240340114","0"
"96","484","23.391586409572607","0"
"97","334","23.391586409572607","0"
"98","479","23.391586409572607","0"
"100","446","19.986036385785322","0"
"99","1655","23.391586409572607","0"
"101","940","15.942169325537591","0"
"103","615","17.312186191718638","0"
"102","832","17.312186191718638","0"
"105","321","17.312186191718638","0"
"104","347","17.312186191718638","0"
"107","359","19.601152749070884","0"
"106","396","19.601152749070884","0"
"108","248","19.601152749070884","0"
"109","285","19.601152749070884","0"
"111","359","29.632475251024594","0"
"110","638","29.632475251024594","0"
"113","470","29.632475251024594","0"
"112","936","29.632475251024594","0"
"114","264","24.03801170998616","0"
"115","604","15.907364064566465","0"
"116","551","15.907364064566465","0"
"118","382","22.847470260213033","0"
"119","390","22.847470260213033","0"
"120","348","22.847470260213033","0"
"117","1342","17.46601106191662","0"
"122","329","19.959864674542406","0"
"121","467","19.959864674542406","0"
"124","238","19.959864674542406","0"
"123","267","19.959864674542406","0"
"126","426","34.774760712160976","0"
"127","616","34.774760712160976","0"
"125","1449","34.774760712160976","0"
"128","630","14.70865020775608","0"
"130","460","24.754253851223496","0"
"129","856","24.754253851223496","0"
"131","496","24.754253851223496","0"
"132","580","24.754253851223496","0"
"133","515","22.36962492060204","0"
"134","500","22.36962492060204","0"
"135","287","16.861077957475068","0"
"136","552","21.04245504717399","0"
"137","423","21.04245504717399","0"
