"Cliente","Tiempo respuesta","Uso CPU","Transacciones perdidas"
"1","4238","100.0","0"
"0","4230","100.0","0"
"2","157","29.54072310222996","0"
"3","489","36.362284843628935","0"
"4","284","20.15263426243855","0"
"5","265","19.762218658139254","0"
"6","240","24.153677372516903","0"
"7","285","23.45413724327018","0"
"8","243","18.77299130481117","0"
"9","429","19.586041318626958","0"
"10","416","17.730246690178763","0"
"11","283","22.000598285664164","0"
"12","296","19.85592499607155","0"
"13","227","18.931747281320167","0"
"14","322","18.905808589950578","0"
"15","286","22.939266673635405","0"
"16","287","21.604678408407807","0"
"17","684","34.69072921946322","0"
"18","633","43.49951260768054","0"
"19","276","28.20921784677628","0"
"20","315","21.087720048251978","0"
"21","491","28.399876239929466","0"
"22","339","19.39130205374948","0"
"23","622","30.030509039406816","0"
"24","395","14.44836617980222","0"
"25","191","22.18672299975706","0"
"26","531","46.84500086477775","0"
"27","208","11.52870622729355","0"
